image_name,nature_visual,nep_materiality_visual,nep_biological_visual,landscape-type_visual,platform_id,index
1477219043216142337_0,Yes,material,biotic,artificial_surfaces,1477219043216142337,0
1477219043216142337_1,Yes,material,biotic,artificial_surfaces,1477219043216142337,1
1479936952363372545_1,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,1
1479936952363372545_2,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,2
1479936952363372545_3,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,3
1481144911869411332_0,Yes,immaterial,biotic,,1481144911869411332,0
1481522399120347139_0,Yes,immaterial,biotic,,1481522399120347139,0
1483560830918696962_0,Yes,immaterial,biotic,,1483560830918696962,0
1485070780174159873_0,Yes,material,biotic,artificial_surfaces,1485070780174159873,0
1493450999759089665_0,Yes,immaterial,abiotic,,1493450999759089665,0
1495036446679384068_0,Yes,material,abiotic,,1495036446679384068,0
1496244406243975169_0,Yes,immaterial,biotic,,1496244406243975169,0
1497452365716332546_0,Yes,material,biotic,,1497452365716332546,0
1501227239454748672_0,Yes,material,biotic,,1501227239454748672,0
1501755721771536388_0,Yes,material,biotic,,1501755721771536388,0
1504398133136084994_0,Yes,material,biotic,artificial_surfaces,1504398133136084994,0
1504398133136084994_1,Yes,material,biotic,artificial_surfaces,1504398133136084994,1
1504398133136084994_2,Yes,material,biotic,artificial_surfaces,1504398133136084994,2
1504398133136084994_3,Yes,material,biotic,artificial_surfaces,1504398133136084994,3
1511645890410340353_0,Yes,material,biotic,,1511645890410340353,0
1511645890410340353_1,Yes,material,biotic,,1511645890410340353,1
1515118774168469509_0,Yes,material,biotic,,1515118774168469509,0
1515118774168469509_1,Yes,material,biotic,,1515118774168469509,1
1515873748796473359_0,Yes,material,abiotic,water_bodies,1515873748796473359,0
1516553226283192322_0,Yes,immaterial,biotic,artificial_surfaces,1516553226283192322,0
1519799617558261761_0,Yes,material,biotic,artificial_surfaces,1519799617558261761,0
1528557324167675904_0,Yes,immaterial,biotic,,1528557324167675904,0
1537692518342709253_1,Yes,material,biotic,artificial_surfaces,1537692518342709253,1
1542146869266157573_0,Yes,material,biotic,artificial_surfaces,1542146869266157573,0
1543128336318308353_0,Yes,material,biotic,,1543128336318308353,0
1543958808569020418_0,Yes,immaterial,abiotic,,1543958808569020418,0
1544487290868842496_0,Yes,material,biotic,,1544487290868842496,0
1556793378746015745_0,Yes,material,biotic,,1556793378746015745,0
1556793378746015745_1,Yes,material,biotic,,1556793378746015745,1
1558605317952352256_0,Yes,material,biotic,artificial_surfaces,1558605317952352256,0
1560719247390547969_0,Yes,material,biotic,forest_and_seminatural_areas,1560719247390547969,0
1568721979372613634_0,Yes,material,biotic,artificial_surfaces,1568721979372613634,0
1569099466795356160_0,Yes,material,biotic,,1569099466795356160,0
1569250461651173378_0,Yes,immaterial,abiotic,forest_and_seminatural_areas,1569250461651173378,0
1569250461651173378_3,Yes,immaterial,abiotic,forest_and_seminatural_areas,1569250461651173378,3
1573100832794578949_0,Yes,immaterial,abiotic,water_bodies,1573100832794578949,0
1573100832794578949_1,Yes,immaterial,abiotic,water_bodies,1573100832794578949,1
1578914138138759168_0,Yes,material,biotic,,1578914138138759168,0
1584802940791164928_0,Yes,material,biotic,,1584802940791164928,0
1592730175456043008_0,Yes,immaterial,biotic,artificial_surfaces,1592730175456043008,0
1596052064219676673_0,Yes,immaterial,abiotic,,1596052064219676673,0
1617675546661617666_0,Yes,material,biotic,,1617675546661617666,0
1617675546661617666_1,Yes,material,biotic,,1617675546661617666,1
1617675546661617666_2,Yes,material,biotic,,1617675546661617666,2
1617675546661617666_3,Yes,material,biotic,,1617675546661617666,3
1618249327641755649_0,Yes,material,biotic,,1618249327641755649,0
1622039300761350146_0,Yes,material,biotic,artificial_surfaces,1622039300761350146,0
1629015267169665025_0,Yes,material,biotic,other,1629015267169665025,0
1629468251645157394_1,Yes,material,biotic,artificial_surfaces,1629468251645157394,1
1630102430636716038_2,Yes,material,biotic,,1630102430636716038,2
1630328922910101504_0,Yes,material,biotic,other,1630328922910101504,0
1630646012581937153_0,Yes,material,biotic,artificial_surfaces,1630646012581937153,0
1631098997187158019_0,Yes,material,biotic,,1631098997187158019,0
1631098997187158019_1,Yes,material,biotic,,1631098997187158019,1
1631838872475713537_0,Yes,material,abiotic,forest_and_seminatural_areas,1631838872475713537,0
1632155962042900480_1,Yes,material,biotic,artificial_surfaces,1632155962042900480,1
1632744842290941952_0,Yes,material,abiotic,,1632744842290941952,0
1633197827064045570_1,Yes,immaterial,abiotic,,1633197827064045570,1
1635915735724597248_0,Yes,material,abiotic,artificial_surfaces,1635915735724597248,0
1641955533887541249_0,Yes,immaterial,abiotic,,1641955533887541249,0
1643918468012490758_0,Yes,immaterial,biotic,,1643918468012490758,0
1644688542361083905_0,Yes,immaterial,biotic,,1644688542361083905,0
1650907520817414160_0,Yes,material,biotic,artificial_surfaces,1650907520817414160,0
1651043416212402178_0,Yes,material,biotic,,1651043416212402178,0
1651043416212402178_1,Yes,material,biotic,,1651043416212402178,1
1651179311720812549_0,Yes,immaterial,biotic,,1651179311720812549,0
1654638102420373505_1,Yes,material,biotic,artificial_surfaces,1654638102420373505,1
1654638102420373505_2,Yes,immaterial,biotic,,1654638102420373505,2
1654638102420373505_3,Yes,immaterial,biotic,,1654638102420373505,3
1660708099320053760_0,Yes,material,biotic,,1660708099320053760,0
1660828895241805826_0,Yes,material,biotic,artificial_surfaces,1660828895241805826,0
1661734864830500865_0,Yes,immaterial,biotic,,1661734864830500865,0
1669284611879481344_0,Yes,immaterial,biotic,,1669284611879481344,0
1671398541208723457_1,Yes,material,biotic,,1671398541208723457,1
1678042318731919362_0,Yes,material,biotic,artificial_surfaces,1678042318731919362,0
1678223512765595649_2,Yes,material,biotic,artificial_surfaces,1678223512765595649,2
1678510402873835523_0,Yes,immaterial,biotic,,1678510402873835523,0
1678510402873835523_1,Yes,immaterial,biotic,,1678510402873835523,1
1678510402873835523_2,Yes,immaterial,biotic,,1678510402873835523,2
1680171347090227200_0,Yes,material,abiotic,forest_and_seminatural_areas,1680171347090227200,0
1687147313935118336_0,Yes,material,biotic,forest_and_seminatural_areas,1687147313935118336,0
1687283209011146753_0,Yes,material,biotic,artificial_surfaces,1687283209011146753,0
1688460969956052992_0,Yes,material,biotic,artificial_surfaces,1688460969956052992,0
1690272908885544961_0,Yes,material,biotic,artificial_surfaces,1690272908885544961,0
1703711459186987518_0,Yes,material,biotic,,1703711459186987518,0
1706580363101786458_0,Yes,material,biotic,,1706580363101786458,0
1711321604444262546_0,Yes,material,biotic,,1711321604444262546,0
1720169908074369039_0,Yes,immaterial,biotic,,1720169908074369039,0
1721392967301120314_0,Yes,material,abiotic,artificial_surfaces,1721392967301120314,0
1722736822239826385_0,Yes,material,biotic,artificial_surfaces,1722736822239826385,0
1731494528886988889_0,Yes,material,biotic,forest_and_seminatural_areas,1731494528886988889,0
1733759453194031413_0,Yes,material,biotic,forest_and_seminatural_areas,1733759453194031413,0
1477823022849568769_0,Yes,material,biotic,none,1477823022849568769,0
1477974017982316554_0,Yes,material,biotic,none,1477974017982316554,0
1478351505153536013_1,Yes,material,abiotic,artificial_surfaces,1478351505153536013,1
1479785957339672576_0,Yes,immaterial,abiotic,none,1479785957339672576,0
1481295906842759172_0,Yes,material,abiotic,forest_and_seminatural_areas,1481295906842759172,0
1481975383498969090_0,Yes,material,biotic,,1481975383498969090,0
1482503866306510848_0,Yes,immaterial,biotic,artificial_surfaces,1482503866306510848,0
1497603360475607041_0,Yes,immaterial,biotic,artificial_surfaces,1497603360475607041,0
1498056345580417025_0,Yes,immaterial,biotic,none,1498056345580417025,0
1502888183763472390_0,Yes,immaterial,biotic,artificial_surfaces,1502888183763472390,0
1506512062431825926_0,Yes,immaterial,biotic,none,1506512062431825926,0
1507040544710610946_0,Yes,material,biotic,none,1507040544710610946,0
1509682956310253583_1,Yes,material,abiotic,,1509682956310253583,1
1509682956310253583_2,Yes,immaterial,biotic,,1509682956310253583,2
1509682956310253583_3,Yes,immaterial,biotic,,1509682956310253583,3
1513004845082771462_0,Yes,material,biotic,artificial_surfaces,1513004845082771462,0
1518440662907113473_0,Yes,immaterial,biotic,none,1518440662907113473,0
1518440662907113473_1,Yes,material,biotic,none,1518440662907113473,1
1518440662907113473_2,Yes,material,biotic,none,1518440662907113473,2
1518440662907113473_3,Yes,immaterial,biotic,none,1518440662907113473,3
1521762551746674688_0,Yes,immaterial,biotic,none,1521762551746674688,0
1524782450601336833_0,Yes,immaterial,abiotic,none,1524782450601336833,0
1530067273741766656_0,Yes,immaterial,abiotic,none,1530067273741766656,0
1541844879248179205_0,Yes,immaterial,biotic,none,1541844879248179205,0
1547129701998673936_0,Yes,material,biotic,none,1547129701998673936,0
1561927206766579713_0,Yes,material,biotic,none,1561927206766579713,0
1590012266459856896_0,Yes,material,biotic,forest_and_seminatural_areas,1590012266459856896,0
1593862637334728704_0,Yes,immaterial,abiotic,other,1593862637334728704,0
1597486516179439617_0,Yes,material,biotic,none,1597486516179439617,0
1605413750814789632_0,Yes,material,biotic,none,1605413750814789632,0
1606244222897573888_0,Yes,material,biotic,none,1606244222897573888,0
1612964504567939074_0,Yes,material,biotic,artificial_surfaces,1612964504567939074,0
1613568484432044037_0,Yes,immaterial,biotic,none,1613568484432044037,0
1614489553531805696_0,Yes,material,biotic,none,1614489553531805696,0
1618868406945726470_0,Yes,material,biotic,artificial_surfaces,1618868406945726470,0
1619759277094371328_0,Yes,material,biotic,none,1619759277094371328,0
1620665246586404866_0,Yes,material,biotic,none,1620665246586404866,0
1620665246586404866_1,Yes,material,biotic,,1620665246586404866,1
1620665246586404866_2,Yes,material,biotic,,1620665246586404866,2
1620665246586404866_3,Yes,material,biotic,,1620665246586404866,3
1626448353008697345_0,Yes,immaterial,biotic,none,1626448353008697345,0
1641804538809311232_1,Yes,material,biotic,none,1641804538809311232,1
1646349486623453186_0,Yes,immaterial,biotic,none,1646349486623453186,0
1648914387321917440_0,Yes,immaterial,biotic,artificial_surfaces,1648914387321917440,0
1655997057063337984_0,Yes,material,biotic,,1655997057063337984,0
1659318945751650309_0,Yes,immaterial,abiotic,none,1659318945751650309,0
1661900959281233920_0,Yes,material,biotic,artificial_surfaces,1661900959281233920,0
1662791829488824320_0,Yes,immaterial,biotic,none,1662791829488824320,0
1671247546407157762_0,Yes,material,biotic,artificial_surfaces,1671247546407157762,0
1673089684480708610_0,Yes,immaterial,abiotic,none,1673089684480708610,0
1674418440172625920_0,Yes,immaterial,biotic,none,1674418440172625920,0
1674569435149922304_0,Yes,material,biotic,none,1674569435149922304,0
1675022420007329793_0,Yes,material,biotic,none,1675022420007329793,0
1675173414942670848_0,Yes,material,biotic,none,1675173414942670848,0
1675173414942670848_1,Yes,material,biotic,none,1675173414942670848,1
